Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
Harry Potter and the Sorcerer's Stone,PS,Action,3.73,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.5,electronic arts,Argonaut Games,11,92,15,2001,11,2001-11-15,4.0,Harry Potter,0.09562727272727271,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS,Action,3.73,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.5,electronic arts,Argonaut Games,11,92,15,2001,11,2001-11-15,4.0,Harry Potter,0.09562727272727271,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS,Action,3.73,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.5,electronic arts,Argonaut Games,11,92,15,2001,11,2001-11-15,4.0,Harry Potter,0.09562727272727271,0.0,1.0
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.4,electronic arts,Griptonite Games,8,13,15,2001,11,2001-11-15,4.0,Harry Potter,0.47300000000000003,0.0,1.0
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.4,electronic arts,Griptonite Games,8,13,15,2001,11,2001-11-15,4.0,Harry Potter,0.47300000000000003,0.0,1.0
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.4,electronic arts,Griptonite Games,8,13,15,2001,11,2001-11-15,4.0,Harry Potter,0.47300000000000003,0.0,1.0
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.4,electronic arts,Griptonite Games,8,13,15,2001,11,2001-11-15,4.0,Harry Potter,0.47300000000000003,0.0,1.0
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.4,electronic arts,Griptonite Games,8,13,15,2001,11,2001-11-15,4.0,Harry Potter,0.47300000000000003,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS2,Action,0.28,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.6,6.7,ea games,Warthog,14,38,9,2003,12,2003-12-09,4.0,Harry Potter,0.15982142857142856,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS2,Action,0.28,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.6,6.7,ea games,Warthog,14,38,9,2003,12,2003-12-09,4.0,Harry Potter,0.15982142857142856,0.0,1.0
