Name,Main story duration,Duration hrs
Final Fantasy Tactics Advance,46 Hours,46.0
Dynasty Warriors 4,10.5 Hours,10.5
Dynasty Warriors 4: Empires,10.5 Hours,10.5
Dynasty Warriors 4: Xtreme Legends,--,
Finding Nemo,2.5 Hours,2.5
Finding Nemo: Nemo's Underwater World of Fun,3 Hours,3.0
Finding Nemo: Learning with Nemo,--,
Dead Rising,11.5 Hours,11.5
Dead Rising 2,14 Hours,14.0
Dead Rising 4,10 Hours,10.0
Dead Rising 3,14 Hours,14.0
Dead Rising 2: Off the Record,13 Hours,13.0
Dead Rising 4: Frank's Big Package,--,
Dead Rising 4: Frank Rising,1.5 Hours,1.5
Dead Rising 3: The Last Agent DLC,2.5 Hours,2.5
Dead Rising 2: Case Zero,2.5 Hours,2.5
Dead Rising 3: Operation Broken Eagle,1.5 Hours,1.5
Dead Rising 3: Fallen Angel DLC,1.5 Hours,1.5
Dead Rising 3: Chaos Rising DLC,1.5 Hours,1.5
Dead Rising: Chop Till You Drop,8 Hours,8.0
Dead Rising 4 - Super Ultra Dead Rising 4 Mini Golf,--,
Dead Rising 3: Super Ultra Dead Rising 3 Arcade Remix Hyper Edition EX Plus Alpha,2 Hours,2.0
Dead Rising 2: Case West,3 Hours,3.0
Hitman: Absolution,12.5 Hours,12.5
Hitman: Absolution - Sniper Challenge,25 Mins,0.4166666666666667
Toy Story 3: The Video Game,4.5 Hours,4.5
Middle-Earth: Shadow of War,20.5 Hours,20.5
Middle-Earth: Shadow of War - Blade of Galadriel,2.5 Hours,2.5
Peter Jackson's King Kong,6.5 Hours,6.5
Tenchu: Stealth Assassins,7.5 Hours,7.5
Dishonored 2,12.5 Hours,12.5
Dynasty Warriors 3,6.5 Hours,6.5
Dynasty Warriors 3: Xtreme Legends,7.5 Hours,7.5
Dynasty Warriors: Gundam 3,35.5 Hours,35.5
The Evil Within,15.5 Hours,15.5
The Evil Within 2,13.5 Hours,13.5
The Evil Within: The Assignment,3 Hours,3.0
The Evil Within: The Executioner,1.5 Hours,1.5
The Evil Within: The Consequence,2.5 Hours,2.5
Phineas and Ferb,4.5 Hours,4.5
Phineas and Ferb: Across the 2nd Dimension,4 Hours,4.0
Phineas and Ferb: Ride Again,--,
Phineas and Ferb: Quest for Cool Stuff,2.5 Hours,2.5
