Name,Franchise,Rating igdb,Rating count igdb,Follows igdb,Name normalizes
LEGO Harry Potter: Years 5-7,LEGO,74.1339301879066,70.0,25.0,LEGO HARRY POTTER: YEARS 5-7
Hyrule Warriors,The Legend of Zelda,74.39605463621649,79.0,37.0,HYRULE WARRIORS
Assassin's Creed: Bloodlines,Assassin's Creed,59.1298726416464,57.0,12.0,ASSASSIN'S CREED: BLOODLINES
Air Combat,,70.00641905155389,15.0,1.0,COMBAT
Tomb Raider: The Angel of Darkness,Tomb Raider,63.2317756130094,84.0,24.0,LARA CROFT TOMB RAIDER: THE ANGEL OF DARKNESS
LEGO City Undercover,LEGO,71.4686743512226,36.0,19.0,LEGO CITY UNDERCOVER
Transformers: Autobots and Decepticons,,49.0832506451662,6.0,2.0,TRANSFORMERS: AUTOBOTS / DECEPTICONS
Ninja Gaiden 3,,68.7547204763016,21.0,11.0,NINJA GAIDEN
Bayonetta,,82.3471589782668,385.0,148.0,BAYONETTA
Dino Crisis 2,Dino Crisis,81.9151773395126,105.0,31.0,DINO CRISIS 2
Star Wars: Episode I - Jedi Power Battles,Star Wars,74.0727795677117,19.0,6.0,STAR WARS EPISODE 1: JEDI POWER BATTLES
The Lord of the Rings: The Fellowship of the Ring,,,,,THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING
,,,,,MAD MAX (2013)
Spongebob Squarepants: Revenge of the Flying Dutchman,Spongebob Squarepants,46.2943391621462,6.0,,SPONGEBOB SQUAREPANTS: REVENGE OF THE FLYING DUTCHMAN
Metal Gear Solid: Portable Ops,Metal Gear,68.54472414677039,37.0,10.0,METAL GEAR SOLID: PORTABLE OPS
LEGO Dimensions,Ghostbusters,71.9629167180313,9.0,5.0,LEGO DIMENSIONS
LEGO Jurassic World,LEGO,75.7006832019819,48.0,23.0,LEGO JURASSIC WORLD
Red Dead Redemption: Undead Nightmare,Red Dead,85.70040764796641,119.0,48.0,RED DEAD REDEMPTION: UNDEAD NIGHTMARE
One Piece: Pirate Warriors,One Piece,70.1952374896497,17.0,5.0,ONE PIECE PIRATE WARRIORS
Mission: Impossible,Mission: Impossible,,,,MISSION: IMPOSSIBLE
Sunset Overdrive,,81.3405980070548,112.0,49.0,SUNSET OVERDRIVE
Gauntlet Dark Legacy,Gauntlet,67.7478868172202,12.0,1.0,GAUNTLET: DARK LEGACY
Kaboom!,,,,,KABOOM!
Doraemon,,,,,DORAEMON
Pokémon Rumble Blast,Pokémon,56.8972122975493,12.0,5.0,POKEMON RUMBLE BLAST
Ninja Gaiden Sigma,,77.33958396922941,30.0,16.0,NINJA GAIDEN SIGMA
Action Bass,,,,,ACTION BASS
Tenchu: Wrath of Heaven,Tenchu,84.04368317894199,25.0,10.0,TENCHU: WRATH OF HEAVEN
Commando,,71.94975611065131,37.0,8.0,COMMANDO
Resident Evil CODE: Veronica X,Resident Evil,70.0171100108909,85.0,30.0,RESIDENT EVIL - CODE: VERONICA
Transformers: The Game,Transformers,69.8542142514723,33.0,11.0,TRANSFORMERS: THE GAME
LEGO Marvel Super Heroes 2,LEGO,70.1888272477933,19.0,27.0,LEGO MARVEL SUPER HEROES 2
Castlevania: Lords of Shadow,Castlevania,79.9771529137144,174.0,72.0,CASTLEVANIA: LORDS OF SHADOW
Tom Clancy's Splinter Cell: Chaos Theory,Tom Clancy,85.15888047929151,221.0,97.0,TOM CLANCY'S SPLINTER CELL: CHAOS THEORY
Metal Gear Solid HD Collection,Metal Gear,85.0613530383214,12.0,9.0,METAL GEAR SOLID HD COLLECTION
Bully: Scholarship Edition,,78.1888035215374,119.0,51.0,BULLY: SCHOLARSHIP EDITION
The Godfather,The Godfather,66.0341016745507,101.0,35.0,THE GODFATHER
Dante's Inferno,Dante's Inferno,75.210657522311,148.0,50.0,DANTE'S INFERNO
Disney's Lilo & Stitch,Disney,65.1506697590127,6.0,,DISNEY'S LILO & STITCH
Hulk,Hulk,65.3714294551973,22.0,5.0,HULK
Darksiders,,79.3862526681397,328.0,114.0,DARKSIDERS
LEGO Marvel Super Heroes: Universe in Peril,,50.0,1.0,,LEGO MARVEL SUPER HEROES: UNIVERSE IN PERIL
The Evil Within 2,,82.40136080469661,139.0,112.0,THE EVIL WITHIN 2
Disney Universe,Disney,50.7741786812343,13.0,2.0,DISNEY UNIVERSE
Nioh,Nioh,79.8905130363175,117.0,116.0,NIOH
Guinness World Records the Videogame,,,,,GUINNESS WORLD RECORDS: THE VIDEOGAME
Final Fight 2,Final Fight,80.00907349170211,43.0,5.0,FINAL FIGHT 2
The Lost World: Jurassic Park,Jurassic Park,60.3884711417372,10.0,2.0,THE LOST WORLD: JURASSIC PARK
God of War: Ghost of Sparta,God of War,81.82375443969849,179.0,57.0,GOD OF WAR: GHOST OF SPARTA
LEGO Marvel's Avengers,LEGO,60.2521440856796,41.0,21.0,LEGO MARVEL'S AVENGERS
Ninja Gaiden II,Ninja Gaiden,84.4422891937601,40.0,17.0,NINJA GAIDEN II
Dynasty Warriors 3: Xtreme Legends,Dynasty Warriors,,,1.0,DYNASTY WARRIORS 3: XTREME LEGENDS
The Bouncer,,40.4333116581719,13.0,5.0,THE BOUNCER
Disney Tangled: The Video Game,Disney,40.0,4.0,2.0,DISNEY TANGLED
Brütal Legend 2,,,,2.0,BRUTAL LEGEND
Shinobi,,58.72669535230101,28.0,5.0,SHINOBI
Ben 10: Alien Force,Ben 10,56.5738977686675,9.0,2.0,BEN 10: ALIEN FORCE
LEGO Batman 3: Beyond Gotham,Batman,72.3242141811987,45.0,25.0,LEGO BATMAN 3: BEYOND GOTHAM
Castlevania: Lament of Innocence,Castlevania,79.2930957069885,34.0,9.0,CASTLEVANIA: LAMENT OF INNOCENCE
Bully,,80.1494480171384,183.0,59.0,BULLY
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,61.1783153514385,24.0,8.0,TEENAGE MUTANT NINJA TURTLES
Spongebob Squarepants: The Yellow Avenger,Spongebob Squarepants,,,,SPONGEBOB SQUAREPANTS: THE YELLOW AVENGER
Dynasty Warriors 8,,76.7553768202353,14.0,6.0,DYNASTY WARRIORS 7
James Cameron's Avatar: The Game,James Cameron's Avatar,73.1076824234988,35.0,13.0,JAMES CAMERON'S AVATAR: THE GAME
3Xtreme,,76.9811723995454,7.0,,3XTREME
God of War Saga,God of War,,,1.0,GOD OF WAR SAGA
,,,,,MONSTER STRIKE 3DS
God of War III: Remastered,God of War,87.9962885771522,79.0,31.0,GOD OF WAR III REMASTERED
Resident Evil: Revelations,Resident Evil,73.8127932861824,159.0,55.0,RESIDENT EVIL: REVELATIONS
The Tomb Raider Trilogy,,88.88488217189581,5.0,2.0,THE TOMB RAIDER TRILOGY
Fortnite,Fortnite,68.0513260963946,486.0,315.0,FORTNITE
NBA 2K6,,80.0,4.0,1.0,NBA 2K6
Lego Harry Potter Collection,Harry Potter,75.8122891319906,8.0,4.0,LEGO HARRY POTTER COLLECTION
Warriors Orochi,,78.7458815240867,9.0,2.0,WARRIORS OROCHI
Ghostbusters: The Video Game,,60.0,0.0,,GHOSTBUSTERS: THE VIDEO GAME
Bayonetta 2,,90.27407862092178,167.0,69.0,BAYONETTA 2
Dynasty Warriors 4: Xtreme Legends,,60.0663207648335,5.0,2.0,DYNASTY WARRIORS 4: XTREME LEGENDS
Tomb Raider: Anniversary,Tomb Raider,77.70420974359381,158.0,55.0,TOMB RAIDER: ANNIVERSARY
Army Men: Air Attack,Army Men,72.0784437513842,8.0,5.0,ARMY MEN: AIR ATTACK
Thief,,69.8821247810295,229.0,92.0,THIEF
Ninja Gaiden Sigma 2,,80.0118388868861,20.0,12.0,NINJA GAIDEN SIGMA 2
Disney Infinity 3.0,Star Wars,78.524287181239,11.0,2.0,DISNEY INFINITY 3.0
Rampage World Tour,Rampage,71.75290890526371,25.0,4.0,RAMPAGE WORLD TOUR
Devil May Cry HD Collection,,89.8343003553309,28.0,24.0,DEVIL MAY CRY HD COLLECTION
ZombiU,,72.5152452896779,30.0,11.0,ZOMBIU
Dynasty Warriors 3,Romance Of The Three Kingdoms,70.738082092025,13.0,7.0,DYNASTY WARRIORS 2
Lizzie McGuire 2: Lizzie Diaries,,,,,LIZZIE MCGUIRE 2: LIZZIE DIARIES
,,,,,TWISTED METAL (2012)
Custer's Revenge,,,,1.0,CUSTER'S REVENGE
Ark: Survival Evolved,,74.4619158399363,117.0,152.0,ARK: SURVIVAL EVOLVED
DmC: Devil May Cry,,76.3382251138692,338.0,121.0,DMC DEVIL MAY CRY
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,Musou,75.7584268020916,16.0,10.0,DRAGON QUEST HEROES: THE WORLD'S TREE WOE AND THE BLIGHT BELOW
Disney's The Little Mermaid: Ariel's Undersea Adventure,Disney,,,,DISNEY'S THE LITTLE MERMAID: ARIEL'S UNDERSEA ADVENTURE
Star Wars: The Clone Wars - Republic Heroes,Star Wars,47.31506460607329,14.0,5.0,STAR WARS THE CLONE WARS: REPUBLIC HEROES
Alien Shooter,,71.9016958336764,27.0,12.0,ALIEN
Assassin's Creed: The Ezio Collection,Assassin's Creed,89.58681849180809,29.0,28.0,ASSASSIN'S CREED THE EZIO COLLECTION
Prototype 2,,70.0465059457186,147.0,53.0,PROTOTYPE 2
MadWorld,,73.5207605764806,26.0,5.0,MADWORLD
Tom Clancy's Splinter Cell: Double Agent,Tom Clancy’s,75.9387454905618,133.0,58.0,TOM CLANCY'S SPLINTER CELL: DOUBLE AGENT
Star Wars: The Clone Wars – Jedi Alliance,Star Wars,72.0,2.0,,STAR WARS THE CLONE WARS: JEDI ALLIANCE
HITMAN,,80.6320653840265,363.0,173.0,HITMAN
Air Raid,,,,,AIR RAID
Crystal Castles,,55.4203005899455,6.0,1.0,CRYSTAL CASTLES
Star Wars: Episode II – Attack of the Clones,Star Wars,,,1.0,STAR WARS EPISODE II: ATTACK OF THE CLONES
Twisted Metal: Head-On,Twisted Metal,60.3734960422195,7.0,5.0,TWISTED METAL: HEAD ON
Mercenaries: Playground of Destruction,,74.4425765739903,24.0,10.0,MERCENARIES: PLAYGROUND OF DESTRUCTION
Harry Potter and the Half-Blood Prince,Harry Potter,68.236445926134,55.0,23.0,HARRY POTTER AND THE HALF-BLOOD PRINCE
True Crime: New York City,,66.5622068075333,34.0,13.0,TRUE CRIME: NEW YORK CITY
Quantum Break,,75.0636799227391,223.0,118.0,QUANTUM BREAK
Genji: Days of the Blade,,,,4.0,GENJI: DAYS OF THE BLADE
Dreamworks' Shark Tale,Shark Tale,44.0,4.0,3.0,SHARK TALE
